,Model0,Model1,Model2,Model3,Model4,Model5,Model6,Model7,Model8,Model9
132,141.3675818,-1.07E+25,9.407743553,3.462012347,8.17885463,-95.08781348,9.50E+51,-37.59588372,-34.45663735,-70.16914379
133,145.3619775,-4.31E+25,8.660508635,-118.9543604,86.99800213,-160.317851,3.91E+47,-195.5626215,-17.78406214,-49.68787912
134,338.282259,-1.80E+27,56.07089081,79.38316289,-0.996630884,55.30438796,7.15E+46,-13.99690453,110.0329122,65.5546161
135,82.19595822,1.60E+25,-5.243155726,125.2683858,-103.9595168,34.74709517,6.33E+51,9.463533073,37.35734761,10.80360374
136,90.12624367,2.08E+26,91.17748509,-368.7665735,-105.2011233,43.15240005,-1.56E+46,-48.34787672,-20.96925248,-68.76144417
137,-4.046889996,-4.63E+25,-2.981783862,-121.5750202,-17.78623873,16.36621061,-4.29E+46,20.99296296,-20.97890128,-37.51588883
138,-83.99379868,-7.75E+24,-1.030820031,63.41897143,-74.20861782,27.6271602,-1.03E+53,63.0805511,-67.14899503,7.294402332
139,152.6559894,-2.92E+23,-44.46823503,286.456522,69.55483813,-58.03750609,-2.14E+46,-8.726051131,50.78394191,32.27441144
140,-72.62691835,-9.52E+24,-11.95160275,-6.556676103,-63.36937392,55.75917063,-7.14E+46,-6.609009986,106.0300364,-26.37174822
141,-120.1639485,3.19E+24,22.44743749,-48.14032032,-42.59845942,-80.51551126,-4.23E+47,-1.38447546,0.109252386,-48.55663725
142,75.55778781,-1.01E+24,-35.12707743,-35.8801803,30.4814026,89.68584001,-1.47E+47,-3.665698937,70.88851313,26.51260931
143,-287.0837957,1.77E+25,114.2278552,-75.30806187,31.23323576,34.0160518,1.52E+48,-9.092266627,7.70016232,-41.76226253
144,109.0802788,-6.43E+24,6.555035207,233.130236,-7.551558293,-33.49261178,1.62E+49,-5.995896532,-6.971109407,6.764228793
145,-64.07320105,4.53E+26,-2.977223708,95.21080094,32.48218916,17.4185055,-9.23E+48,-7.55243252,66.53925579,-43.5374306
146,63.89563043,-2.91E+25,-14.47049225,-195.696943,-21.5266476,-71.09427801,3.45E+51,25.78911037,-1.484019619,-36.10981734
147,-191.130749,-2.62E+25,5.812902987,131.9382484,-45.19600665,-93.20245872,-2.33E+49,11.27421603,64.88866407,-13.4843624
148,66.08679816,1.27E+27,-57.76506525,57.66615536,-60.97586857,63.2535416,-3.27E+46,4.147950924,90.51653031,-15.46234807
149,107.7550667,-1.64E+27,-99.60741096,-521.3581499,37.6703686,46.86771773,6.58E+47,-31.6758641,60.02709373,75.79305243
150,18.01243192,-3.99E+26,-49.12307993,-73.37312142,31.23493171,60.17119728,-1.41E+48,-21.33444781,-42.39297369,-17.07220693
151,-21.05060952,-2.15E+24,-10.09743909,-102.8576154,145.3578254,47.24662232,2.59E+52,-46.47829626,-10.95143553,-47.25176403
152,70.34439088,-6.39E+26,78.19707159,-193.9231986,-0.637179549,79.44385262,7.68E+49,-4.497073407,-32.78996873,99.63398784
153,30.57789368,2.82E+26,62.05565098,-919.2467694,62.20788876,-85.51757802,-1.88E+46,46.52287027,86.41063249,42.09969115
154,-0.913663185,-2.46E+24,55.86359177,-146.2928867,43.38336602,-153.7929873,3.36E+52,-125.8583646,22.9947687,-137.567685
155,146.9705043,3.04E+26,36.1111665,90.40636514,-227.1774346,34.8621709,1.79E+47,-12.0266224,-26.65870255,-70.0033459
156,101.7990227,1.30E+26,-5.95577282,-43.19885659,-15.15217924,-71.78870775,-1.20E+52,-28.90873196,-23.09270295,-18.8851385
157,239.0639839,-5.77E+22,-41.02756418,67.7898648,-49.17869407,100.1813135,-3.80E+47,-34.3984391,-8.783857866,-41.52118959
158,-298.3356623,-6.64E+26,-6.877020788,-11.34545194,14.5884098,2.942079569,1.19E+48,34.11805906,19.4113733,26.45777834
159,251.1988609,-3.52E+27,-4.258340728,-118.9835782,-74.90256909,93.27381868,-4.88E+49,22.27023851,8.540669696,-53.3329618
160,293.6638464,5.26E+23,-32.90277125,139.2381236,269.6327164,-88.56193769,-1.66E+50,26.57042318,-13.71522547,9.056118543
161,-205.7900011,-6.96E+23,-10.20389804,-60.46093545,-2.903817884,-405.9049775,2.32E+50,-16.47814103,-43.50283301,-44.92305079
162,-128.1085599,9.53E+22,66.42767889,-20.48906539,-52.33401497,117.1502554,1.72E+52,39.82996923,18.76488239,140.9969705
163,140.270507,3.42E+25,-9.517302006,-105.460247,-33.47358954,-6.243794977,-2.88E+48,11.42970498,-66.38617156,32.08726248
164,-48.41544339,2.93E+26,8.786180792,169.9339219,-157.4295105,-48.74363052,-1.37E+50,-49.62189616,30.4966664,-12.15299511
165,120.5859472,7.89E+21,-9.89436308,131.816974,-0.25212795,-70.07503395,-5.90E+51,-0.115847686,18.25822542,-75.41687741
166,-124.8775935,-2.04E+22,49.3324879,-4.019741893,-61.69462082,67.69725523,-4.00E+51,-22.55802131,-43.89109591,15.52973887
167,51.8038695,-4.39E+24,0.7126484,-380.3911225,-4.051867941,100.1131262,-1.07E+49,38.15859511,-28.62381659,-32.99633514
168,210.1161789,-4.70E+27,-36.83121371,-666.2982062,-6.921363694,29.28458518,3.97E+50,21.22032045,-5.088139071,9.168116153
169,-595.6878853,1.14E+26,-13.25399552,-193.6929244,5.208997858,80.28011569,-1.35E+52,-30.10339043,63.28316448,14.30096485
170,59.7096466,7.58E+26,-27.00207031,183.4972166,234.1894046,15.04921645,3.28E+51,-21.09427446,50.93954304,26.06964552
171,-273.7710292,-2.97E+25,1.36377386,243.8551578,113.0814977,18.01567894,1.77E+50,-55.10785554,-53.932886,10.68120063
172,15.97911147,-4.75E+25,42.86736761,-100.9312727,-11.89379995,-60.86980187,1.13E+46,-15.35841682,99.77253281,-0.351959548
173,-54.09180651,2.43E+26,-26.49884279,51.57529351,92.20899371,-40.27835497,7.11E+50,-29.90559207,38.65742698,-78.08417624
174,72.11147783,1.62E+25,21.37373905,-1466.614399,-162.6513337,-69.17013453,-1.75E+49,-11.42204186,14.4578618,56.66509369
175,143.9790876,-1.69E+25,-46.45564638,-238.3418921,70.29273825,111.9946196,4.57E+52,-11.53481827,-27.52768277,-32.74254231
176,69.73016073,2.31E+22,31.31257568,95.53331155,-7.361073422,66.25555544,-9.60E+49,12.43434406,60.60175555,-7.377716008
177,17.620457,3.99E+21,-13.26165885,113.0834983,-81.81021976,-89.53394029,-1.49E+51,-21.62086116,-23.56579476,-13.804125
178,273.8737388,-5.85E+26,10.73684011,702.9240937,-37.80425352,14.22010764,-4.19E+53,-5.838916954,-22.35390826,29.96023391
179,44.3905669,-6.23E+27,101.4344911,-598.7477288,223.839024,-78.65726938,1.17E+53,41.6684086,-27.72863556,-29.20544533
180,-437.104613,8.35E+24,103.0014861,10.91148974,-28.60850602,-81.38564506,1.72E+50,-8.050077494,-97.12297369,32.3901653
181,132.5560096,-1.22E+24,-58.39728234,-38.02158614,-1.538514074,-27.51782511,1.47E+50,-11.90346105,29.97973799,10.56631239
182,-12.63252925,-2.58E+24,8.461819975,181.8600733,-38.44794191,11.24651061,-2.45E+48,51.2440669,60.92112197,-20.12777201
183,47.8320117,-1.29E+21,6.20190893,68.46712048,12.10198686,-25.06299807,-2.88E+50,8.36671681,-23.64898396,-31.25902259
184,-4.046892963,-1.34E+25,81.29818396,-39.01221713,57.83662143,-91.15132647,-2.33E+48,-22.24588846,-93.72897777,85.40431777
185,-99.51033378,3.03E+27,-52.05370281,151.7973323,-57.23796682,10.24022301,-1.09E+51,8.034640702,26.90069857,-17.4840325
186,-146.7849474,-8.21E+24,4.431421228,70.21481178,-172.1134548,-73.22223156,1.34E+50,-38.4890066,-11.37034919,-1.090605163
187,13.02913156,-4.16E+25,-22.65901159,-245.9675089,-98.19210686,75.64939497,-1.07E+46,20.77624213,45.11001148,23.39424354
188,113.8237661,1.05E+25,-91.05575818,49.26054271,-38.07247052,-58.694512,2.62E+48,-20.0202545,16.01529044,-41.85585508
189,-39.81594634,3.48E+23,-133.4623491,248.8855737,16.1484315,27.68806924,1.66E+49,29.26163186,17.85884195,-57.22574017
190,-67.89937535,2.51E+26,-66.96900922,-86.45193333,-42.77858779,32.70813646,1.33E+50,-73.08135384,47.23847147,4.738822336
191,-246.2756528,-1.97E+23,44.94354395,273.1284382,-33.83906656,12.7879909,-1.52E+51,-33.46668192,61.19097759,24.43007673
192,-257.5118645,-2.66E+26,-20.891452,15.49110599,86.96468597,-99.8296786,1.62E+47,-35.69807903,29.1172212,-37.52108316
193,-636.6645931,-1.07E+25,35.22549424,-236.197209,-32.46526439,2.887144147,-1.85E+44,6.317259548,21.52624912,64.45130599
194,4.132001822,1.06E+25,51.43562132,-101.873282,95.01956066,-120.2789253,-3.99E+48,-3.77242086,-14.08676989,-18.45030101
195,-388.3492307,1.25E+27,12.38696059,-37.91228142,-52.0986842,36.12773601,1.89E+50,-12.62730477,-11.83365944,-123.6528017
196,-53.14548835,1.10E+27,-38.3224466,20.05351737,-89.9478575,-53.24788768,-1.55E+47,-13.11303086,-39.90656228,14.92315149
197,294.5887632,-1.69E+23,-55.40338866,-216.187231,127.58757,85.73266885,1.56E+47,-13.06747868,80.67322198,-16.61362307
198,75.17041219,-7.98E+24,13.060367,-153.2738978,-80.36612715,75.17265984,-6.84E+50,4.181188402,22.50565792,-26.24086646
